------------------------------
Config: dim 12 window 5
Init Dataloader
Using device: cuda
Begin Training
epoch 6 | batch 17000/43315 batches | ms/batch 23.255328024134915 | loss 260625.0000
epoch 6 | batch 18000/43315 batches | ms/batch 22.055933912595112 | loss 276026.0000
epoch 6 | batch 19000/43315 batches | ms/batch 20.98274214644181 | loss 291440.0000
epoch 6 | batch 20000/43315 batches | ms/batch 20.016935610771178 | loss 306862.0000
epoch 6 | batch 21000/43315 batches | ms/batch 19.143085275377548 | loss 322334.0000
epoch 6 | batch 22000/43315 batches | ms/batch 18.34861067208377 | loss 337621.0337
epoch 6 | batch 23000/43315 batches | ms/batch 17.62462742432304 | loss 352999.0337
epoch 6 | batch 24000/43315 batches | ms/batch 16.960264404614765 | loss 368422.0337
epoch 6 | batch 25000/43315 batches | ms/batch 16.348744354248048 | loss 383764.0337
epoch 6 | batch 26000/43315 batches | ms/batch 15.784098826921904 | loss 399216.0337
epoch 6 | batch 27000/43315 batches | ms/batch 15.261213408576118 | loss 414454.0337
epoch 6 | batch 28000/43315 batches | ms/batch 14.775655048234123 | loss 429896.0337
epoch 6 | batch 29000/43315 batches | ms/batch 14.32415299580015 | loss 445172.0337
epoch 6 | batch 30000/43315 batches | ms/batch 13.902992097536723 | loss 460252.0337
epoch 6 | batch 31000/43315 batches | ms/batch 13.508583753339705 | loss 475667.0337
epoch 6 | batch 32000/43315 batches | ms/batch 13.1386638879776 | loss 491014.0672
epoch 6 | batch 33000/43315 batches | ms/batch 12.79110633243214 | loss 506513.0672
epoch 6 | batch 34000/43315 batches | ms/batch 12.46394316589131 | loss 521894.0672
epoch 6 | batch 35000/43315 batches | ms/batch 12.155428205217634 | loss 537264.0672
epoch 6 | batch 36000/43315 batches | ms/batch 11.86504504415724 | loss 552692.0672
epoch 6 | batch 37000/43315 batches | ms/batch 11.589793785198315 | loss 568059.0672
epoch 6 | batch 38000/43315 batches | ms/batch 11.328822606488279 | loss 583396.0672
epoch 6 | batch 39000/43315 batches | ms/batch 11.081141160084652 | loss 598618.0672
epoch 6 | batch 40000/43315 batches | ms/batch 10.845787864923476 | loss 613965.0672
epoch 6 | batch 41000/43315 batches | ms/batch 10.621860178505502 | loss 629390.0672
epoch 6 | batch 42000/43315 batches | ms/batch 10.40924132437933 | loss 644612.0672
epoch 6 | batch 43000/43315 batches | ms/batch 10.206335361613784 | loss 659923.0672
Epoch [6/30], Loss: 664718.8364
------------------------------
epoch 7 | batch 1000/43315 batches | ms/batch 441.54282665252686 | loss 15294.0000
epoch 7 | batch 2000/43315 batches | ms/batch 221.60785508155823 | loss 30650.0000
epoch 7 | batch 3000/43315 batches | ms/batch 148.29536938667297 | loss 46047.0000
epoch 7 | batch 4000/43315 batches | ms/batch 111.64044946432114 | loss 61382.0000
epoch 7 | batch 5000/43315 batches | ms/batch 89.64742388725281 | loss 76841.0000
epoch 7 | batch 6000/43315 batches | ms/batch 74.98442852497101 | loss 92123.0000
epoch 7 | batch 7000/43315 batches | ms/batch 64.51053946358817 | loss 107507.0000
epoch 7 | batch 8000/43315 batches | ms/batch 56.654917657375336 | loss 122900.0334
epoch 7 | batch 9000/43315 batches | ms/batch 50.5449640221066 | loss 138304.0334
epoch 7 | batch 10000/43315 batches | ms/batch 45.65690152645111 | loss 153723.0334
epoch 7 | batch 11000/43315 batches | ms/batch 41.65782794085416 | loss 169015.0334
epoch 7 | batch 12000/43315 batches | ms/batch 38.324571788311005 | loss 184320.0334
epoch 7 | batch 13000/43315 batches | ms/batch 35.50409628794743 | loss 199668.0334
epoch 7 | batch 14000/43315 batches | ms/batch 33.08653495992933 | loss 215042.0334
epoch 7 | batch 15000/43315 batches | ms/batch 30.99128964742025 | loss 230383.0334
epoch 7 | batch 16000/43315 batches | ms/batch 29.15789483487606 | loss 245667.0334
epoch 7 | batch 17000/43315 batches | ms/batch 27.540294983807733 | loss 260977.0334
epoch 7 | batch 18000/43315 batches | ms/batch 26.102513935830856 | loss 276428.0334
epoch 7 | batch 19000/43315 batches | ms/batch 24.816042586376792 | loss 291806.0334
epoch 7 | batch 20000/43315 batches | ms/batch 23.658270907402038 | loss 307062.0334
epoch 7 | batch 21000/43315 batches | ms/batch 22.610689276740665 | loss 322303.0334
epoch 7 | batch 22000/43315 batches | ms/batch 21.65834420377558 | loss 337504.0334
epoch 7 | batch 23000/43315 batches | ms/batch 20.788815187371295 | loss 352957.0334
epoch 7 | batch 24000/43315 batches | ms/batch 19.99172416329384 | loss 368137.0334
epoch 7 | batch 25000/43315 batches | ms/batch 19.25845733642578 | loss 383544.0334
